,date,japan_death,japan_confirm,nepal_death,nepal_confirm,pakistan_death,pakistan_confirm,skorea_death,skorea_confirm
0,02-15-2020,1,43,0,1,0,0,0,0
1,02-16-2020,1,59,0,1,0,0,0,0
2,02-17-2020,1,66,0,1,0,0,0,0
3,02-18-2020,1,74,0,1,0,0,0,0
4,02-19-2020,1,84,0,1,0,0,0,0
5,02-20-2020,1,94,0,1,0,0,0,0
6,02-21-2020,1,105,0,1,0,0,0,0
7,02-22-2020,1,122,0,1,0,0,0,0
8,02-23-2020,1,147,0,1,0,0,0,0
9,02-24-2020,1,159,0,1,0,0,0,0
10,02-25-2020,1,170,0,1,0,0,0,0
11,02-26-2020,2,189,0,1,0,2,0,0
12,02-27-2020,4,214,0,1,0,2,0,0
13,02-28-2020,4,228,0,1,0,2,0,0
14,02-29-2020,5,241,0,1,0,4,0,0
15,03-01-2020,6,256,0,1,0,4,0,0
16,03-02-2020,6,274,0,1,0,4,0,0
17,03-03-2020,6,293,0,1,0,5,0,0
18,03-04-2020,6,331,0,1,0,5,0,0
19,03-05-2020,6,360,0,1,0,5,0,0
20,03-06-2020,6,420,0,1,0,6,0,0
21,03-07-2020,6,461,0,1,0,6,0,0
22,03-08-2020,6,502,0,1,0,6,0,0
23,03-09-2020,17,511,0,1,0,6,0,0
24,03-10-2020,10,581,0,1,0,16,0,0
25,03-11-2020,15,639,0,1,0,19,60,7755
26,03-12-2020,16,639,0,1,0,20,66,7869
27,03-13-2020,19,701,0,1,0,28,66,7979
28,03-14-2020,22,773,0,1,0,31,72,8086
29,03-15-2020,22,839,0,1,0,53,75,8162
30,03-16-2020,27,825,0,1,0,136,75,8236
31,03-17-2020,29,878,0,1,0,236,81,8320
32,03-18-2020,29,889,0,1,0,299,84,8413
33,03-19-2020,29,924,0,1,2,454,91,8565
34,03-20-2020,33,963,0,1,3,501,94,8652
35,03-21-2020,35,1007,0,1,3,730,102,8799
36,03-22-2020,36,1086,0,1,4,776,104,8897
37,03-23-2020,42,1128,0,2,6,875,111,8961
38,03-24-2020,43,1193,0,2,7,972,120,9037
