,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Date
4681003,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-02-16,-9.0,-6.0,-35.0,-10.0,-2.0,2.0,2020-02-16
4681004,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-02-17,-2.0,1.0,-5.0,-1.0,0.0,1.0,2020-02-17
4681005,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-02-18,1.0,2.0,1.0,-2.0,0.0,1.0,2020-02-18
4681006,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-02-19,0.0,2.0,8.0,-3.0,0.0,0.0,2020-02-19
4681007,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-02-20,1.0,4.0,4.0,-3.0,0.0,0.0,2020-02-20
4681008,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-02-21,-1.0,2.0,7.0,-2.0,0.0,1.0,2020-02-21
4681009,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-02-22,-5.0,1.0,-10.0,-3.0,-1.0,2.0,2020-02-22
4681010,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-02-23,1.0,3.0,16.0,2.0,0.0,0.0,2020-02-23
4681011,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-02-24,18.0,4.0,54.0,-27.0,-55.0,14.0,2020-02-24
4681012,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-02-25,0.0,7.0,0.0,-2.0,1.0,1.0,2020-02-25
4681013,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-02-26,-4.0,3.0,-5.0,-5.0,1.0,1.0,2020-02-26
4681014,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-02-27,-3.0,6.0,-4.0,-7.0,0.0,1.0,2020-02-27
4681015,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-02-28,-2.0,14.0,-4.0,-10.0,1.0,2.0,2020-02-28
4681016,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-02-29,-10.0,9.0,-22.0,-21.0,3.0,4.0,2020-02-29
4681017,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-01,-10.0,9.0,-1.0,-23.0,1.0,4.0,2020-03-01
4681018,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-02,-10.0,3.0,-15.0,-15.0,-2.0,4.0,2020-03-02
4681019,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-03,-2.0,9.0,11.0,-15.0,-2.0,4.0,2020-03-03
4681020,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-04,-12.0,-2.0,-21.0,-19.0,-4.0,5.0,2020-03-04
4681021,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-05,-9.0,3.0,-8.0,-18.0,-4.0,4.0,2020-03-05
4681022,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-06,-9.0,2.0,5.0,-18.0,-4.0,5.0,2020-03-06
4681023,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-07,-12.0,2.0,-8.0,-24.0,-4.0,5.0,2020-03-07
4681024,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-08,-17.0,-4.0,-35.0,-31.0,-5.0,6.0,2020-03-08
4681025,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-09,-7.0,2.0,11.0,-15.0,-3.0,4.0,2020-03-09
4681026,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-10,-9.0,-3.0,-28.0,-18.0,-5.0,6.0,2020-03-10
4681027,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-11,-3.0,4.0,13.0,-16.0,-4.0,3.0,2020-03-11
4681028,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-12,-3.0,5.0,16.0,-15.0,-4.0,3.0,2020-03-12
4681029,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-13,-5.0,3.0,10.0,-17.0,-4.0,5.0,2020-03-13
4681030,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-14,-14.0,-4.0,-39.0,-27.0,-7.0,7.0,2020-03-14
4681031,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-15,-7.0,5.0,9.0,-21.0,-3.0,3.0,2020-03-15
4681032,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-16,-7.0,0.0,-7.0,-15.0,-3.0,4.0,2020-03-16
4681033,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-17,-1.0,4.0,14.0,-15.0,-4.0,4.0,2020-03-17
4681034,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-18,-3.0,3.0,20.0,-14.0,-4.0,3.0,2020-03-18
4681035,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-19,4.0,6.0,17.0,-10.0,-4.0,2.0,2020-03-19
4681036,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-20,7.0,6.0,40.0,-34.0,-54.0,17.0,2020-03-20
4681037,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-21,-6.0,5.0,34.0,-15.0,-7.0,3.0,2020-03-21
4681038,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-22,-9.0,1.0,18.0,-18.0,-3.0,3.0,2020-03-22
4681039,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-23,-4.0,0.0,11.0,-13.0,-3.0,3.0,2020-03-23
4681040,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-24,0.0,3.0,14.0,-13.0,-4.0,4.0,2020-03-24
4681041,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-25,2.0,8.0,31.0,-11.0,-4.0,2.0,2020-03-25
4681042,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-26,0.0,13.0,26.0,-13.0,-5.0,3.0,2020-03-26
4681043,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-27,-10.0,3.0,-9.0,-19.0,-7.0,6.0,2020-03-27
4681044,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-28,-18.0,1.0,-23.0,-33.0,-8.0,7.0,2020-03-28
4681045,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-29,-26.0,-7.0,-25.0,-41.0,-9.0,7.0,2020-03-29
4681046,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-30,-7.0,4.0,-2.0,-20.0,-8.0,5.0,2020-03-30
4681047,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-31,-4.0,7.0,9.0,-20.0,-7.0,5.0,2020-03-31
4681048,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-01,-20.0,-5.0,-29.0,-25.0,-10.0,7.0,2020-04-01
4681049,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-02,-12.0,6.0,13.0,-23.0,-10.0,6.0,2020-04-02
4681050,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-03,-14.0,6.0,26.0,-25.0,-11.0,7.0,2020-04-03
4681051,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-04,-21.0,6.0,26.0,-35.0,-12.0,8.0,2020-04-04
4681052,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-05,-25.0,2.0,3.0,-43.0,-13.0,8.0,2020-04-05
4681053,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-06,-13.0,7.0,15.0,-24.0,-11.0,7.0,2020-04-06
