,Date,Country,City,Specie,count,min,max,median,variance
328871,2020-03-02,NP,Kathmandu,dew,115,6.0,10.5,8.5,10.37
328878,2020-02-25,NP,Kathmandu,dew,32,8.0,9.0,8.5,1.76
328879,2020-02-27,NP,Kathmandu,dew,105,6.0,10.0,8.0,12.16
328882,2020-03-29,NP,Kathmandu,dew,108,2.5,10.5,9.0,58.45
328884,2020-02-19,NP,Kathmandu,dew,21,9.0,12.0,11.0,5.4
328885,2020-03-01,NP,Kathmandu,dew,120,6.5,11.0,10.0,11.73
328886,2020-03-21,NP,Kathmandu,dew,110,7.0,10.5,9.0,9.05
328889,2020-04-02,NP,Kathmandu,dew,115,-3.0,11.0,7.0,142.29
328894,2020-03-12,NP,Kathmandu,dew,131,1.5,10.0,6.5,52.92
328897,2020-03-15,NP,Kathmandu,dew,144,4.0,10.0,8.0,30.1
328898,2020-03-30,NP,Kathmandu,dew,105,3.5,11.0,9.5,36.62
328899,2020-03-06,NP,Kathmandu,dew,120,4.5,10.0,6.5,30.53
328900,2020-03-14,NP,Kathmandu,dew,84,9.0,11.0,10.0,3.2
328904,2020-03-10,NP,Kathmandu,dew,83,1.0,12.0,11.0,87.77
328907,2020-03-25,NP,Kathmandu,dew,118,11.0,15.0,13.0,9.27
328908,2020-03-31,NP,Kathmandu,dew,85,9.0,12.0,11.0,7.28
328910,2020-03-08,NP,Kathmandu,dew,120,3.5,10.0,7.5,21.28
328911,2020-02-26,NP,Kathmandu,dew,90,8.0,10.0,9.0,4.56
328912,2020-02-29,NP,Kathmandu,dew,115,7.0,11.0,9.5,13.1
328913,2020-03-04,NP,Kathmandu,dew,35,7.0,10.0,7.5,13.97
328914,2020-03-24,NP,Kathmandu,dew,93,9.5,14.0,12.0,21.79
328917,2020-02-18,NP,Kathmandu,dew,20,8.0,12.0,10.0,13.65
328918,2020-03-17,NP,Kathmandu,dew,122,6.5,11.0,9.5,16.95
328919,2020-03-20,NP,Kathmandu,dew,110,6.5,10.0,8.0,14.85
328923,2020-02-17,NP,Kathmandu,dew,24,8.5,11.0,10.5,5.65
328924,2020-02-28,NP,Kathmandu,dew,100,5.0,11.0,9.5,19.44
328925,2020-03-22,NP,Kathmandu,dew,105,7.5,11.5,10.0,12.79
328926,2020-03-23,NP,Kathmandu,dew,88,9.0,13.5,11.0,18.77
328930,2020-03-05,NP,Kathmandu,dew,110,4.0,10.0,8.0,17.6
328931,2020-03-07,NP,Kathmandu,dew,120,6.0,10.5,9.0,14.77
328934,2020-03-16,NP,Kathmandu,dew,102,1.5,10.0,6.0,83.92
328935,2020-03-19,NP,Kathmandu,dew,110,5.5,10.5,9.0,17.08
328936,2020-04-04,NP,Kathmandu,dew,110,6.0,9.0,8.0,5.44
328939,2020-02-15,NP,Kathmandu,dew,16,6.0,9.0,8.5,6.83
328940,2020-02-16,NP,Kathmandu,dew,23,7.5,12.0,9.5,12.09
328941,2020-03-26,NP,Kathmandu,dew,97,12.0,15.0,14.0,9.41
328942,2020-03-27,NP,Kathmandu,dew,118,9.0,16.0,14.0,37.14
328943,2020-04-01,NP,Kathmandu,dew,105,7.5,12.5,11.5,21.19
328946,2020-03-11,NP,Kathmandu,dew,102,0.5,12.0,10.0,79.52
328947,2020-03-13,NP,Kathmandu,dew,102,6.5,10.0,7.5,12.61
328948,2020-03-28,NP,Kathmandu,dew,120,1.5,15.0,7.0,234.3
328950,2020-03-03,NP,Kathmandu,dew,6,8.0,8.0,8.0,0.0
328951,2020-03-18,NP,Kathmandu,dew,120,7.5,10.5,9.0,7.55
328952,2020-04-03,NP,Kathmandu,dew,105,5.5,9.0,7.5,11.44
328953,2020-04-05,NP,Kathmandu,dew,75,7.0,9.0,7.5,3.94
328955,2020-03-09,NP,Kathmandu,dew,85,7.0,12.0,9.5,33.02
328958,2020-03-25,NP,Kathmandu,pm10,72,33.0,61.0,41.0,595.77
328959,2020-04-03,NP,Kathmandu,pm10,120,15.0,71.0,42.0,1746.89
328965,2020-03-26,NP,Kathmandu,pm10,72,31.0,75.0,52.0,964.12
328967,2020-03-31,NP,Kathmandu,pm10,75,16.0,74.0,45.0,1374.91
328971,2020-02-22,NP,Kathmandu,pm10,58,23.0,76.0,50.0,1593.72
328972,2020-02-24,NP,Kathmandu,pm10,76,26.0,172.0,55.0,6790.29
328973,2020-02-29,NP,Kathmandu,pm10,10,25.0,46.0,40.0,612.11
328974,2020-03-21,NP,Kathmandu,pm10,8,11.0,77.0,12.0,7575.54
328980,2020-02-18,NP,Kathmandu,pm10,80,25.0,114.0,71.0,6468.04
328981,2020-03-03,NP,Kathmandu,pm10,35,21.0,54.0,35.0,1002.52
328982,2020-03-18,NP,Kathmandu,pm10,91,12.0,180.0,38.0,13777.7
328987,2020-02-20,NP,Kathmandu,pm10,32,33.0,108.0,78.0,2330.47
328988,2020-03-05,NP,Kathmandu,pm10,120,14.0,162.0,48.0,5779.13
328989,2020-03-29,NP,Kathmandu,pm10,6,28.0,31.0,29.0,18.67
328994,2020-03-15,NP,Kathmandu,pm10,115,14.0,392.0,37.0,31002.2
328995,2020-04-01,NP,Kathmandu,pm10,120,15.0,532.0,40.0,23300.3
329000,2020-02-17,NP,Kathmandu,pm10,76,27.0,132.0,76.0,6943.99
329001,2020-02-21,NP,Kathmandu,pm10,72,30.0,124.0,73.0,2843.89
329002,2020-02-23,NP,Kathmandu,pm10,72,28.0,167.0,59.0,8305.3
329003,2020-03-06,NP,Kathmandu,pm10,60,25.0,152.0,51.0,5254.23
329004,2020-03-10,NP,Kathmandu,pm10,118,17.0,107.0,42.0,2910.14
329007,2020-02-19,NP,Kathmandu,pm10,57,26.0,128.0,74.0,4108.6
329008,2020-02-27,NP,Kathmandu,pm10,95,11.0,104.0,32.0,4527.91
329009,2020-02-28,NP,Kathmandu,pm10,119,14.0,186.0,38.0,7677.89
329014,2020-03-08,NP,Kathmandu,pm10,10,21.0,52.0,32.0,1452.89
329015,2020-03-09,NP,Kathmandu,pm10,120,14.0,86.0,37.0,3045.54
329016,2020-03-14,NP,Kathmandu,pm10,10,18.0,46.0,23.0,1001.78
329017,2020-03-28,NP,Kathmandu,pm10,50,8.0,53.0,22.0,1230.68
329023,2020-03-27,NP,Kathmandu,pm10,57,17.0,74.0,49.0,1520.64
329024,2020-04-04,NP,Kathmandu,pm10,120,20.0,78.0,47.0,1808.43
329026,2020-03-04,NP,Kathmandu,pm10,120,14.0,118.0,44.0,3747.7
329027,2020-03-19,NP,Kathmandu,pm10,71,13.0,323.0,33.0,25938.7
329028,2020-03-20,NP,Kathmandu,pm10,96,11.0,374.0,37.0,29445.1
329029,2020-04-02,NP,Kathmandu,pm10,113,5.0,77.0,31.0,1854.82
329032,2020-02-25,NP,Kathmandu,pm10,85,25.0,160.0,54.0,9234.19
329033,2020-02-26,NP,Kathmandu,pm10,120,6.0,57.0,22.0,1477.38
329034,2020-03-16,NP,Kathmandu,pm10,120,11.0,458.0,39.0,26708.0
329035,2020-04-05,NP,Kathmandu,pm10,75,23.0,100.0,54.0,2435.59
329037,2020-02-15,NP,Kathmandu,pm10,56,28.0,131.0,68.0,5441.86
329038,2020-03-07,NP,Kathmandu,pm10,120,12.0,99.0,30.0,3001.34
329039,2020-03-13,NP,Kathmandu,pm10,120,21.0,173.0,51.0,8157.39
329040,2020-03-22,NP,Kathmandu,pm10,89,9.0,120.0,21.0,9576.43
329041,2020-03-24,NP,Kathmandu,pm10,72,21.0,63.0,34.0,832.39
329046,2020-02-16,NP,Kathmandu,pm10,76,32.0,136.0,78.0,7378.69
329047,2020-03-01,NP,Kathmandu,pm10,120,21.0,291.0,49.0,15257.5
329048,2020-03-02,NP,Kathmandu,pm10,119,19.0,107.0,50.0,4304.44
329049,2020-03-11,NP,Kathmandu,pm10,115,15.0,129.0,46.0,5719.96
329050,2020-03-12,NP,Kathmandu,pm10,120,20.0,198.0,47.0,8507.14
329051,2020-03-17,NP,Kathmandu,pm10,118,13.0,251.0,46.0,15272.5
329052,2020-03-23,NP,Kathmandu,pm10,72,11.0,999.0,35.0,130814.0
329053,2020-03-30,NP,Kathmandu,pm10,28,27.0,81.0,36.0,1489.89
329056,2020-03-08,NP,Kathmandu,pressure,120,1015.0,1019.5,1017.0,18.34
329057,2020-04-01,NP,Kathmandu,pressure,120,1014.0,1018.5,1016.0,15.6
329058,2020-04-05,NP,Kathmandu,pressure,120,1016.0,1021.0,1018.0,18.9
329064,2020-03-04,NP,Kathmandu,pressure,27,1016.5,1018.0,1018.0,1.78
329065,2020-03-12,NP,Kathmandu,pressure,131,1018.0,1022.0,1019.5,23.46
329066,2020-03-16,NP,Kathmandu,pressure,144,1017.0,1021.0,1019.0,11.89
329069,2020-03-13,NP,Kathmandu,pressure,144,1020.0,1025.5,1022.5,35.86
329070,2020-03-21,NP,Kathmandu,pressure,120,1015.5,1020.0,1018.0,16.24
329072,2020-02-16,NP,Kathmandu,pressure,23,1018.0,1022.0,1020.0,20.14
329074,2020-03-01,NP,Kathmandu,pressure,120,1016.0,1020.5,1018.0,15.96
329075,2020-03-22,NP,Kathmandu,pressure,115,1016.0,1020.5,1018.0,20.71
329076,2020-03-23,NP,Kathmandu,pressure,92,1015.5,1020.0,1018.0,19.74
329077,2020-03-31,NP,Kathmandu,pressure,120,1014.0,1019.0,1016.0,21.53
329078,2020-04-02,NP,Kathmandu,pressure,120,1013.5,1017.0,1015.0,12.96
329081,2020-03-06,NP,Kathmandu,pressure,120,1016.0,1020.0,1018.0,12.29
329082,2020-03-10,NP,Kathmandu,pressure,108,1014.0,1019.0,1016.5,23.29
329086,2020-02-19,NP,Kathmandu,pressure,23,1018.0,1023.0,1020.0,22.95
329087,2020-02-26,NP,Kathmandu,pressure,115,1017.0,1020.0,1018.0,11.32
329088,2020-03-03,NP,Kathmandu,pressure,6,1016.0,1017.0,1017.0,1.67
329093,2020-02-18,NP,Kathmandu,pressure,24,1015.0,1020.0,1018.0,20.36
329094,2020-03-02,NP,Kathmandu,pressure,120,1016.0,1019.0,1017.0,10.91
329095,2020-03-05,NP,Kathmandu,pressure,120,1015.0,1020.0,1017.0,23.74
329096,2020-03-29,NP,Kathmandu,pressure,115,1012.0,1016.0,1014.0,17.31
329099,2020-03-07,NP,Kathmandu,pressure,120,1018.0,1023.0,1019.5,26.82
329101,2020-02-28,NP,Kathmandu,pressure,115,1017.5,1021.5,1019.0,12.0
329102,2020-02-27,NP,Kathmandu,pressure,120,1017.0,1021.0,1019.0,12.8
329103,2020-03-09,NP,Kathmandu,pressure,120,1013.0,1017.0,1015.5,18.03
329104,2020-03-15,NP,Kathmandu,pressure,144,1016.5,1022.0,1020.0,27.02
329105,2020-03-17,NP,Kathmandu,pressure,138,1018.0,1022.0,1019.5,14.38
329106,2020-03-26,NP,Kathmandu,pressure,119,1015.0,1018.5,1016.0,15.11
329109,2020-03-14,NP,Kathmandu,pressure,144,1017.0,1023.0,1021.0,26.6
329110,2020-03-28,NP,Kathmandu,pressure,120,1013.0,1020.0,1015.5,43.89
329111,2020-03-25,NP,Kathmandu,pressure,115,1013.0,1018.0,1016.0,21.09
329112,2020-03-27,NP,Kathmandu,pressure,119,1016.0,1020.5,1018.0,17.2
329114,2020-03-18,NP,Kathmandu,pressure,120,1015.0,1020.0,1018.0,19.95
329117,2020-03-11,NP,Kathmandu,pressure,102,1015.0,1019.0,1017.0,17.51
329118,2020-04-04,NP,Kathmandu,pressure,115,1015.0,1019.0,1017.5,19.61
329125,2020-02-29,NP,Kathmandu,pressure,120,1016.0,1020.0,1018.0,13.22
329126,2020-03-19,NP,Kathmandu,pressure,120,1014.0,1019.0,1017.0,20.99
329127,2020-03-30,NP,Kathmandu,pressure,120,1013.0,1017.0,1015.0,16.14
329129,2020-02-15,NP,Kathmandu,pressure,21,1014.0,1019.0,1016.0,26.73
329131,2020-03-20,NP,Kathmandu,pressure,120,1014.0,1020.0,1017.0,26.89
329132,2020-03-24,NP,Kathmandu,pressure,96,1014.5,1019.0,1017.0,18.29
329133,2020-04-03,NP,Kathmandu,pressure,120,1014.0,1018.0,1016.0,15.12
329136,2020-02-25,NP,Kathmandu,pressure,32,1016.0,1019.0,1018.0,9.41
329138,2020-02-17,NP,Kathmandu,pressure,24,1018.0,1022.0,1020.0,16.19
329140,2020-02-26,NP,Kathmandu,wind gust,5,8.2,8.2,8.2,0.0
329141,2020-03-04,NP,Kathmandu,wind gust,5,10.2,10.2,10.2,0.0
329142,2020-03-15,NP,Kathmandu,wind gust,12,10.8,11.3,10.8,0.68
329143,2020-03-28,NP,Kathmandu,wind gust,9,11.8,11.8,11.8,0.0
329144,2020-04-01,NP,Kathmandu,wind-speed,100,0.5,9.0,2.0,42.03
329145,2020-04-02,NP,Kathmandu,wind-speed,120,0.7,5.6,1.5,26.29
329146,2020-04-05,NP,Kathmandu,wind-speed,120,0.5,5.4,1.5,19.38
329148,2020-03-30,NP,Kathmandu,wind-speed,120,1.0,4.6,1.5,14.01
329149,2020-03-31,NP,Kathmandu,wind-speed,115,1.0,7.7,1.5,49.19
329150,2020-04-03,NP,Kathmandu,wind-speed,120,0.5,5.6,1.5,23.57
329151,2020-04-04,NP,Kathmandu,wind-speed,115,0.5,6.9,1.5,34.22
329155,2020-04-01,NP,Kathmandu,wind-gust,5,21.0,21.0,21.0,0.0
329157,2020-03-16,NP,Kathmandu,temperature,120,6.1,22.5,14.7,237.46
329158,2020-03-17,NP,Kathmandu,temperature,128,8.2,23.5,15.5,226.59
329159,2020-03-22,NP,Kathmandu,temperature,116,7.5,21.7,13.8,190.98
329160,2020-03-25,NP,Kathmandu,temperature,116,11.4,23.5,17.1,126.39
329161,2020-04-01,NP,Kathmandu,temperature,120,13.0,25.0,16.0,187.5
329162,2020-04-03,NP,Kathmandu,temperature,120,11.0,26.0,17.5,248.79
329166,2020-03-04,NP,Kathmandu,temperature,24,11.3,15.7,13.5,14.87
329169,2020-03-03,NP,Kathmandu,temperature,9,7.5,10.5,10.0,10.58
329170,2020-03-27,NP,Kathmandu,temperature,119,13.2,27.0,21.0,184.03
329171,2020-03-28,NP,Kathmandu,temperature,120,13.0,27.0,18.5,209.38
329175,2020-03-01,NP,Kathmandu,temperature,120,7.6,20.7,14.1,162.99
329176,2020-03-07,NP,Kathmandu,temperature,120,7.8,16.5,11.0,35.53
329179,2020-03-12,NP,Kathmandu,temperature,120,8.1,24.5,17.0,277.72
329180,2020-03-24,NP,Kathmandu,temperature,96,9.0,22.2,16.5,158.44
329185,2020-03-19,NP,Kathmandu,temperature,101,8.2,23.4,17.0,189.07
329186,2020-03-13,NP,Kathmandu,temperature,118,9.2,16.6,13.4,34.21
329188,2020-02-18,NP,Kathmandu,temperature,24,9.0,20.5,14.0,150.21
329189,2020-02-29,NP,Kathmandu,temperature,54,8.0,22.0,12.5,216.95
329190,2020-03-08,NP,Kathmandu,temperature,54,6.0,20.0,11.0,252.23
329191,2020-03-10,NP,Kathmandu,temperature,108,11.2,22.0,14.8,114.17
329195,2020-02-15,NP,Kathmandu,temperature,21,10.0,18.5,14.0,98.58
329196,2020-02-16,NP,Kathmandu,temperature,23,10.5,20.5,13.5,105.34
329197,2020-02-17,NP,Kathmandu,temperature,24,11.0,19.5,13.5,93.76
329198,2020-03-11,NP,Kathmandu,temperature,102,9.1,25.0,15.6,222.95
329199,2020-04-02,NP,Kathmandu,temperature,120,11.0,26.0,17.5,293.27
329203,2020-02-27,NP,Kathmandu,temperature,107,8.2,19.0,12.2,112.04
329204,2020-03-21,NP,Kathmandu,temperature,54,9.9,22.0,13.0,153.34
329210,2020-03-05,NP,Kathmandu,temperature,120,7.2,20.9,14.0,139.41
329211,2020-03-30,NP,Kathmandu,temperature,120,11.0,27.0,18.0,300.77
329213,2020-03-02,NP,Kathmandu,temperature,119,7.5,20.5,12.5,126.08
329214,2020-03-06,NP,Kathmandu,temperature,84,10.5,22.0,14.0,106.52
329215,2020-03-14,NP,Kathmandu,temperature,54,10.6,21.0,13.5,99.72
329216,2020-03-18,NP,Kathmandu,temperature,115,8.2,23.3,15.3,228.54
329217,2020-03-23,NP,Kathmandu,temperature,94,9.4,20.3,14.0,103.28
329218,2020-03-31,NP,Kathmandu,temperature,120,12.0,26.5,18.0,225.84
329222,2020-02-19,NP,Kathmandu,temperature,23,11.0,20.0,13.5,81.58
329223,2020-02-28,NP,Kathmandu,temperature,117,6.1,20.5,13.5,157.38
329224,2020-03-20,NP,Kathmandu,temperature,120,9.1,22.5,15.4,140.1
329225,2020-04-05,NP,Kathmandu,temperature,120,11.0,25.0,18.0,238.44
329229,2020-02-25,NP,Kathmandu,temperature,12,9.0,12.0,10.0,11.29
329230,2020-03-26,NP,Kathmandu,temperature,119,12.5,25.5,19.0,165.61
329232,2020-03-09,NP,Kathmandu,temperature,120,6.3,22.1,14.8,223.96
329233,2020-03-29,NP,Kathmandu,temperature,115,11.0,28.0,19.5,343.78
329237,2020-02-26,NP,Kathmandu,temperature,120,8.2,13.2,10.5,18.26
329238,2020-03-15,NP,Kathmandu,temperature,117,7.3,22.3,14.5,204.69
329239,2020-04-04,NP,Kathmandu,temperature,115,11.0,25.0,18.5,223.13
329242,2020-03-25,NP,Kathmandu,humidity,115,45.0,100.0,77.0,3198.53
329243,2020-04-03,NP,Kathmandu,humidity,120,27.0,81.0,44.0,3222.58
329244,2020-04-04,NP,Kathmandu,humidity,115,31.0,81.0,48.0,2795.24
