,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Date
5530521,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-02-16,4.0,4.0,4.0,5.0,8.0,0.0,2020-02-16
5530522,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-02-17,4.0,3.0,6.0,6.0,5.0,0.0,2020-02-17
5530523,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-02-18,4.0,4.0,5.0,5.0,7.0,0.0,2020-02-18
5530524,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-02-19,4.0,4.0,3.0,4.0,6.0,0.0,2020-02-19
5530525,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-02-20,7.0,8.0,8.0,7.0,10.0,-2.0,2020-02-20
5530526,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-02-21,-7.0,-2.0,2.0,-5.0,-35.0,5.0,2020-02-21
5530527,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-02-22,4.0,6.0,0.0,1.0,2.0,0.0,2020-02-22
5530528,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-02-23,6.0,8.0,3.0,7.0,10.0,0.0,2020-02-23
5530529,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-02-24,3.0,5.0,0.0,4.0,6.0,0.0,2020-02-24
5530530,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-02-25,1.0,0.0,-3.0,2.0,5.0,0.0,2020-02-25
5530531,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-02-26,1.0,1.0,-5.0,2.0,-6.0,1.0,2020-02-26
5530532,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-02-27,6.0,6.0,3.0,6.0,7.0,0.0,2020-02-27
5530533,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-02-28,4.0,6.0,4.0,8.0,8.0,-1.0,2020-02-28
5530534,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-02-29,6.0,5.0,3.0,4.0,6.0,0.0,2020-02-29
5530535,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-03-01,6.0,7.0,1.0,7.0,11.0,0.0,2020-03-01
5530536,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-03-02,4.0,4.0,0.0,6.0,6.0,0.0,2020-03-02
5530537,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-03-03,4.0,3.0,1.0,2.0,6.0,0.0,2020-03-03
5530538,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-03-04,4.0,9.0,1.0,5.0,5.0,0.0,2020-03-04
5530539,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-03-05,5.0,13.0,2.0,7.0,12.0,0.0,2020-03-05
5530540,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-03-06,5.0,10.0,1.0,10.0,9.0,-1.0,2020-03-06
5530541,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-03-07,-3.0,2.0,-9.0,-2.0,4.0,2.0,2020-03-07
5530542,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-03-08,7.0,11.0,8.0,5.0,-16.0,2.0,2020-03-08
5530543,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-03-09,-12.0,-11.0,14.0,-6.0,-43.0,7.0,2020-03-09
5530544,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-03-10,-3.0,0.0,5.0,-5.0,-17.0,2.0,2020-03-10
5530545,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-03-11,2.0,4.0,1.0,2.0,-3.0,0.0,2020-03-11
5530546,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-03-12,2.0,5.0,1.0,2.0,8.0,0.0,2020-03-12
5530547,NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2020-03-13,-4.0,0.0,-6.0,-2.0,8.0,2.0,2020-03-13
