,Date,Country,City,Specie,count,min,max,median,variance
95056,2020-03-07,PK,Karachi,humidity,24,10.5,63.0,41.0,2841.41
95057,2020-03-29,PK,Karachi,humidity,23,17.5,88.0,30.6,7403.66
95062,2020-03-08,PK,Karachi,humidity,24,15.0,60.0,41.0,2048.5
95063,2020-03-27,PK,Karachi,humidity,24,30.0,73.0,56.0,2600.43
95067,2020-02-25,PK,Karachi,humidity,8,46.0,83.0,73.0,2565.11
95068,2020-02-28,PK,Karachi,humidity,22,52.0,83.0,70.5,859.08
95069,2020-03-30,PK,Karachi,humidity,23,16.0,60.0,34.0,2476.45
95070,2020-03-18,PK,Karachi,humidity,23,11.3,35.0,27.0,653.62
95076,2020-03-04,PK,Karachi,humidity,6,58.5,73.0,64.0,396.42
95077,2020-03-09,PK,Karachi,humidity,23,14.0,60.0,35.5,2594.23
95078,2020-03-22,PK,Karachi,humidity,24,39.0,86.0,61.0,2121.63
95081,2020-03-24,PK,Karachi,humidity,24,43.0,83.0,69.0,1407.54
95082,2020-04-05,PK,Karachi,humidity,23,23.5,78.0,57.0,2419.76
95084,2020-03-05,PK,Karachi,humidity,23,15.0,78.0,45.0,3897.97
95085,2020-03-06,PK,Karachi,humidity,24,12.5,45.0,21.5,766.08
95086,2020-03-16,PK,Karachi,humidity,21,13.0,67.5,29.0,1703.9
95087,2020-04-03,PK,Karachi,humidity,24,12.0,60.0,35.0,3129.62
95090,2020-02-26,PK,Karachi,humidity,24,40.0,94.0,73.0,3455.58
95091,2020-03-13,PK,Karachi,humidity,23,9.0,60.0,34.5,3786.14
95092,2020-03-20,PK,Karachi,humidity,24,37.0,78.0,60.0,1384.67
95093,2020-04-02,PK,Karachi,humidity,23,21.0,69.0,43.0,2787.01
95097,2020-03-12,PK,Karachi,humidity,23,8.5,55.0,17.0,1331.76
95098,2020-03-26,PK,Karachi,humidity,24,48.5,78.0,60.0,708.97
95099,2020-04-01,PK,Karachi,humidity,23,33.0,80.5,57.0,2836.31
95101,2020-03-25,PK,Karachi,humidity,24,25.0,83.0,45.5,3826.08
95102,2020-03-28,PK,Karachi,humidity,24,33.0,82.0,61.0,3179.93
95103,2020-03-31,PK,Karachi,humidity,24,24.0,78.0,59.6,3033.34
95105,2020-03-17,PK,Karachi,humidity,24,13.3,45.0,25.0,1341.87
95108,2020-02-27,PK,Karachi,humidity,23,20.0,88.0,52.0,6234.0
95109,2020-03-14,PK,Karachi,humidity,24,11.0,54.0,35.0,2168.84
95110,2020-03-19,PK,Karachi,humidity,22,10.0,57.0,32.0,2024.48
95111,2020-03-21,PK,Karachi,humidity,23,46.5,83.0,73.0,1817.59
95114,2020-03-02,PK,Karachi,humidity,24,22.6,55.0,38.0,1070.84
95115,2020-03-11,PK,Karachi,humidity,24,14.0,49.0,18.5,1001.95
95116,2020-04-04,PK,Karachi,humidity,23,13.0,53.0,30.0,1878.8
95119,2020-02-29,PK,Karachi,humidity,23,37.5,88.0,69.0,3178.63
95120,2020-03-10,PK,Karachi,humidity,24,21.0,60.0,44.0,2383.8
95121,2020-03-15,PK,Karachi,humidity,17,17.0,77.0,56.0,3198.12
95122,2020-03-23,PK,Karachi,humidity,24,35.0,78.0,65.0,1927.89
95129,2020-03-01,PK,Karachi,humidity,24,22.0,73.0,35.5,3839.83
95140,2020-03-21,PK,Karachi,wind speed,22,1.2,5.6,3.6,16.65
95141,2020-03-22,PK,Karachi,wind speed,24,1.5,5.9,3.0,16.12
95142,2020-03-27,PK,Karachi,wind speed,24,2.0,6.9,4.1,12.38
95144,2020-02-28,PK,Karachi,wind speed,22,0.7,5.6,3.8,16.23
95145,2020-03-04,PK,Karachi,wind speed,6,3.0,6.4,4.6,14.63
95146,2020-03-19,PK,Karachi,wind speed,18,1.0,6.4,2.9,23.88
95147,2020-03-15,PK,Karachi,wind speed,13,1.0,3.8,3.0,9.58
95148,2020-03-25,PK,Karachi,wind speed,22,0.8,5.1,2.5,14.02
95150,2020-02-25,PK,Karachi,wind speed,8,2.3,5.6,4.1,13.77
95151,2020-03-01,PK,Karachi,wind speed,19,1.0,9.7,4.1,58.72
95152,2020-03-06,PK,Karachi,wind speed,24,2.0,7.7,4.6,34.97
95153,2020-03-26,PK,Karachi,wind speed,17,1.8,7.9,3.0,35.96
95157,2020-03-05,PK,Karachi,wind speed,22,2.5,7.7,5.1,19.5
95159,2020-03-14,PK,Karachi,wind speed,18,1.2,6.1,2.8,16.34
95160,2020-03-28,PK,Karachi,wind speed,24,2.0,6.6,3.6,15.86
95161,2020-03-30,PK,Karachi,wind speed,22,2.0,6.6,3.0,10.52
95162,2020-03-08,PK,Karachi,wind speed,18,1.0,5.6,2.8,20.39
95163,2020-03-12,PK,Karachi,wind speed,23,2.0,10.2,4.3,70.01
95170,2020-03-10,PK,Karachi,wind speed,21,0.6,8.4,4.2,36.64
95174,2020-03-29,PK,Karachi,wind speed,22,1.2,5.1,3.6,9.12
95177,2020-03-07,PK,Karachi,wind speed,19,0.7,6.0,3.3,24.67
95178,2020-03-24,PK,Karachi,wind speed,19,1.5,6.6,4.3,18.57
95179,2020-03-31,PK,Karachi,wind speed,23,1.5,7.7,4.8,19.92
95182,2020-03-17,PK,Karachi,wind speed,19,1.0,5.4,3.6,12.96
95183,2020-03-18,PK,Karachi,wind speed,21,1.0,5.9,2.8,13.38
95184,2020-03-23,PK,Karachi,wind speed,22,1.2,5.1,3.0,11.15
95185,2020-03-20,PK,Karachi,wind speed,24,2.5,8.5,6.1,26.94
95189,2020-02-29,PK,Karachi,wind speed,19,0.7,5.6,2.0,24.74
95190,2020-03-16,PK,Karachi,wind speed,21,0.7,6.6,3.0,25.82
95192,2020-03-02,PK,Karachi,wind speed,22,1.0,4.8,2.8,11.74
95193,2020-03-09,PK,Karachi,wind speed,23,1.5,9.0,3.0,39.66
95194,2020-03-13,PK,Karachi,wind speed,20,0.7,5.4,2.5,14.06
95198,2020-02-26,PK,Karachi,wind speed,19,1.0,6.4,3.0,20.5
95199,2020-03-11,PK,Karachi,wind speed,24,4.1,8.7,6.1,13.09
95202,2020-02-27,PK,Karachi,wind speed,21,1.2,7.7,3.8,28.76
95205,2020-04-04,PK,Karachi,pressure,23,1009.0,1014.0,1011.0,18.63
95206,2020-03-21,PK,Karachi,pressure,23,1009.0,1013.0,1011.0,16.61
95207,2020-03-18,PK,Karachi,pressure,23,1011.5,1016.0,1013.6,18.7
95208,2020-03-23,PK,Karachi,pressure,24,1009.5,1015.0,1011.5,26.63
95213,2020-02-25,PK,Karachi,pressure,8,1012.0,1014.0,1013.0,7.86
95214,2020-03-13,PK,Karachi,pressure,23,1013.0,1018.0,1015.5,29.27
95215,2020-04-02,PK,Karachi,pressure,23,1009.0,1013.0,1011.0,17.02
95218,2020-03-22,PK,Karachi,pressure,24,1010.0,1015.0,1012.0,17.51
95219,2020-03-19,PK,Karachi,pressure,22,1009.0,1013.0,1011.0,12.81
95220,2020-03-28,PK,Karachi,pressure,24,1011.0,1016.0,1014.0,18.91
95224,2020-03-01,PK,Karachi,pressure,24,1011.0,1015.0,1012.5,18.82
95225,2020-03-04,PK,Karachi,pressure,6,1008.0,1010.0,1009.0,5.75
95226,2020-03-11,PK,Karachi,pressure,24,1009.0,1013.0,1010.0,18.64
