,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Date
5679122,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-02-16,3.0,3.0,8.0,4.0,2.0,0.0,2020-02-16
5679123,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-02-17,8.0,8.0,11.0,9.0,3.0,-1.0,2020-02-17
5679124,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-02-18,4.0,4.0,9.0,6.0,4.0,-1.0,2020-02-18
5679125,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-02-19,0.0,0.0,6.0,3.0,4.0,-1.0,2020-02-19
5679126,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-02-20,-3.0,-4.0,1.0,-1.0,2.0,0.0,2020-02-20
5679127,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-02-21,1.0,0.0,7.0,4.0,3.0,0.0,2020-02-21
5679128,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-02-22,1.0,2.0,7.0,3.0,3.0,0.0,2020-02-22
5679129,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-02-23,2.0,1.0,8.0,2.0,3.0,0.0,2020-02-23
5679130,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-02-24,8.0,8.0,10.0,7.0,4.0,-1.0,2020-02-24
5679131,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-02-25,4.0,5.0,10.0,5.0,5.0,-1.0,2020-02-25
5679132,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-02-26,0.0,1.0,8.0,4.0,5.0,-1.0,2020-02-26
5679133,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-02-27,0.0,2.0,6.0,2.0,2.0,0.0,2020-02-27
5679134,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-02-28,-1.0,-2.0,2.0,1.0,1.0,1.0,2020-02-28
5679135,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-02-29,-3.0,-2.0,-3.0,-3.0,2.0,1.0,2020-02-29
5679136,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-03-01,3.0,6.0,6.0,4.0,6.0,0.0,2020-03-01
5679137,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-03-02,10.0,12.0,11.0,9.0,2.0,0.0,2020-03-02
5679138,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-03-03,6.0,10.0,12.0,6.0,3.0,-1.0,2020-03-03
5679139,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-03-04,2.0,4.0,9.0,4.0,3.0,0.0,2020-03-04
5679140,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-03-05,-2.0,-1.0,3.0,-1.0,1.0,1.0,2020-03-05
5679141,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-03-06,-5.0,-4.0,-3.0,-3.0,-1.0,2.0,2020-03-06
5679142,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-03-07,-1.0,2.0,3.0,1.0,2.0,1.0,2020-03-07
