,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Date
4771431,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-16,-11.0,0.0,-31.0,-15.0,-3.0,4.0,2020-02-16
4771432,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-17,-7.0,-6.0,-17.0,-6.0,0.0,5.0,2020-02-17
4771433,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-18,-1.0,-3.0,-5.0,-3.0,2.0,2.0,2020-02-18
4771434,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-19,-5.0,-1.0,14.0,-4.0,1.0,2.0,2020-02-19
4771435,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-20,-7.0,-3.0,7.0,-6.0,1.0,2.0,2020-02-20
4771436,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-21,-15.0,-4.0,-10.0,-10.0,0.0,5.0,2020-02-21
4771437,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-22,-26.0,-6.0,-32.0,-24.0,-4.0,9.0,2020-02-22
4771438,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-23,-31.0,-18.0,-12.0,-25.0,-9.0,8.0,2020-02-23
4771439,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-24,-21.0,6.0,6.0,-15.0,-6.0,8.0,2020-02-24
4771440,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-25,-33.0,-13.0,-38.0,-26.0,-10.0,10.0,2020-02-25
4771441,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-26,-29.0,-7.0,5.0,-22.0,-11.0,9.0,2020-02-26
4771442,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-27,-30.0,-10.0,1.0,-24.0,-10.0,9.0,2020-02-27
4771443,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-28,-37.0,-17.0,-38.0,-30.0,-12.0,13.0,2020-02-28
4771444,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-29,-38.0,-10.0,-13.0,-32.0,-10.0,12.0,2020-02-29
4771445,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-01,-41.0,-8.0,-17.0,-36.0,-16.0,11.0,2020-03-01
4771446,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-02,-23.0,-1.0,10.0,-20.0,-8.0,9.0,2020-03-02
4771447,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-03,-24.0,-7.0,2.0,-21.0,-9.0,8.0,2020-03-03
4771448,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-04,-30.0,-10.0,-7.0,-25.0,-11.0,10.0,2020-03-04
4771449,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-05,-28.0,-11.0,-2.0,-25.0,-9.0,9.0,2020-03-05
4771450,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-06,-27.0,-8.0,1.0,-22.0,-9.0,10.0,2020-03-06
4771451,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-07,-32.0,-7.0,-16.0,-29.0,-8.0,11.0,2020-03-07
4771452,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-08,-27.0,-14.0,34.0,-24.0,-14.0,9.0,2020-03-08
4771453,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-09,-19.0,1.0,16.0,-17.0,-6.0,8.0,2020-03-09
4771454,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-10,-27.0,-11.0,-32.0,-25.0,-9.0,9.0,2020-03-10
4771455,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-11,-22.0,-3.0,23.0,-18.0,-8.0,8.0,2020-03-11
4771456,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-12,-23.0,-5.0,19.0,-20.0,-7.0,8.0,2020-03-12
4771457,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-13,-24.0,-5.0,2.0,-20.0,-7.0,9.0,2020-03-13
4771458,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-14,-25.0,1.0,4.0,-22.0,-5.0,9.0,2020-03-14
4771459,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-15,-28.0,1.0,-3.0,-29.0,-12.0,9.0,2020-03-15
4771460,KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-16,-17.0,1.0,23.0,-16.0,-6.0,8.0,2020-03-16
